Charge;N° Parc;N° Série;Réception;Référence;Désignation;Stock;Quart;Déposant;Lot;Date Création;Utilisateur;UL Contenue;Type réception;Type Edition;Tron Dest.;Tron.;Temps passé en atelier;Tournée;Stock Préc.;Statut;Site;Rot;Réparateur;Rendre Charge Dispo?;Réf Fourn.;Ref Client;Rebut ?;Réaffecter;Rng Dest;Rng;Qrt Dest;Qté UL contenu;Qté Rés;Qté à Regrouper;Qté Dispo;Prix Unit d'achat.;Profondeur;Prestation Atelier;Prél.;Pos Dest;Pos;Poids;Charge Org Vide?;Numéro du support;N° Recept;Numéro de facture;Nom technicien;Nom etiq Charge;Niv Dest;Niv;Multi Réf?;Mouvement;Charges assemblage;Maj Charge?;Lot de Fabrication;Lot Préc.;Ligne Rec;Adresse;Largeur;A Inventorier?;Init Prix d'achat.;H Creation;Hauteur;H Rebut;H Réaffect;Heure cloture atelier;Heure prise en main;Gtin;Flag Charge?;Famille Log;Famille;Etat Final;Etat;Emb_Pal;EAN13;Dotation;DLUO;Dernier invent.;Date Fab;Dern. Mvt;Date Dernier Prelvt;Date Dernier mvt;Condit;Type Ano;Commentaire Atelier;Code UM;UL;Charge Org;Charge Dest;Bat Dest;Bat;Al Dest;Allée;Affectation
"08278994";"";"ENOGEN22SB-CG-0035189";"00455967";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"154/0032";"27/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03184121";"";"";"Etiq_Charge.xml";"";"3";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 3 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11721608";"";"15/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08279116";"";"ENOGEN22SB-CG-0035508";"00455967";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"121/0032";"27/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03184212";"";"";"Etiq_Charge.xml";"";"3";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 3 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11721609";"";"15/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08279117";"";"ENOGEN22SB-CG-0035530";"00455967";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"148/0032";"27/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03184212";"";"";"Etiq_Charge.xml";"";"3";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 3 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11721610";"";"15/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08306727";"";"ENOGEN22SB-CG-0035501";"00458103";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"113/0032";"15/12/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03195430";"";"";"Etiq_Charge.xml";"";"4";"Non";"-";"Oui";"Non";"";"";"2";"PAL G 15 4 C";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11737906";"";"19/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08386672";"";"ENOGEN22SB-CG-0032690";"00463685";"B00024097";"BORNE ENOVATES";"GOOD";"PAL";"TOTALTCS";"029/0032";"10/02/2026";"";"UNITE";"RT";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"14";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03225420";"";"";"Etiq_Charge.xml";"";"3";"Non";"-";"Oui";"Non";"";"";"2";"PAL G 14 3 C";"0,00 m";"Non";"0,00";"10/02/26 10:56:22";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATES";"Disponible";"Réservée";"";"";"Non";"";"";"";"12032225";"";"30/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TOTALTCSGOOD"
"08275855";"";"ENOGEN22SB-CG-0035286";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"036/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182413";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689071";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275856";"";"ENOGEN22SB-CG-0035275";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"030/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182413";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689072";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08306611";"";"ENOGEN22SB-CG-0035499";"00458103";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"107/0032";"15/12/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03195375";"";"";"Etiq_Charge.xml";"";"4";"Non";"-";"Oui";"Non";"";"";"2";"PAL G 15 4 C";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11737907";"";"19/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08306612";"";"ENOGEN22SB-CG-0035230";"00458103";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"123/0032";"15/12/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03195375";"";"";"Etiq_Charge.xml";"";"4";"Non";"-";"Oui";"Non";"";"";"2";"PAL G 15 4 C";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11737908";"";"19/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08306614";"";"ENOGEN22SB-CG-0035512";"00458103";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"126/0032";"15/12/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03195375";"";"";"Etiq_Charge.xml";"";"4";"Non";"-";"Oui";"Non";"";"";"2";"PAL G 15 4 C";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11737909";"";"19/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08458274";"";"ENOGEN22SB-CG-0035249";"00468323";"B00024097";"BORNE ENOVATES";"GOOD";"PAL";"TOTALTCS";"LOUSTALET KARINE";"30/03/2026";"";"UNITE";"RT";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"13";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03253475";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"6";"PAL G 13 0 B";"0,00 m";"Non";"0,00";"30/03/26 13:16:02";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATES";"Disponible";"Réservée";"";"";"Non";"";"";"";"12032977";"";"30/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TOTALTCSGOOD"
"08279118";"";"ENOGEN22SB-CG-0035226";"00455967";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"153/0032";"27/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03184212";"";"";"Etiq_Charge.xml";"";"3";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 3 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11721616";"";"15/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
